observation_date,LEU0252918500A
1979-01-01,344
1980-01-01,376
1981-01-01,407
1982-01-01,438
1983-01-01,461
1984-01-01,486
1985-01-01,506
1986-01-01,525
1987-01-01,564
1988-01-01,585
1989-01-01,609
1990-01-01,638
1991-01-01,666
1992-01-01,696
1993-01-01,715
1994-01-01,733
1995-01-01,747
1996-01-01,758
1997-01-01,779
1998-01-01,821
1999-01-01,860
2000-01-01,891
2001-01-01,921
2002-01-01,941
2003-01-01,964
2004-01-01,986
2005-01-01,1013
2006-01-01,1039
2007-01-01,1072
2008-01-01,1115
2009-01-01,1137
2010-01-01,1144
2011-01-01,1150
2012-01-01,1165
2013-01-01,1194
2014-01-01,1193
2015-01-01,1230
2016-01-01,1259
2017-01-01,1279
2018-01-01,1324
2019-01-01,1367
2020-01-01,1421
2021-01-01,1452
2022-01-01,1544
2023-01-01,1609
2024-01-01,1692
